,FileAddress,corresponding_img,SpatRx,SpatRy,Slicethick,Goasting,tSNR (Averaged Brain ROI),Displacement factor (std of Mutual information)
20,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m3\ses-1\func\sub-GVsT3c17m3_ses-1_EPI.nii.gz,func_func_sub-GVsT3c17m3_ses-1_EPI_21.png,0.140625,0.140625,0.6,False,17.109442402262168,0.006985080784200981
21,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m3\ses-1\func\sub-GVsT3c17m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-GVsT3c17m3_ses-1_EPI_motion_added_22.png,0.140625,0.140625,0.6,False,11.566012944168534,0.055751991426734475
22,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m4\ses-1\func\sub-GVsT3c17m4_ses-1_EPI.nii.gz,func_func_sub-GVsT3c17m4_ses-1_EPI_23.png,0.140625,0.140625,0.6,False,13.382100436463304,0.01738249866057141
23,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m4\ses-1\func\sub-GVsT3c17m4_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-GVsT3c17m4_ses-1_EPI_motion_added_24.png,0.140625,0.140625,0.6,False,9.092539858513344,0.04969272216058646
24,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m5\ses-1\func\sub-GVsT3c17m5_ses-1_EPI.nii.gz,func_func_sub-GVsT3c17m5_ses-1_EPI_25.png,0.140625,0.140625,0.6,False,18.809282429739767,0.006963684979330173
25,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-GVsT3c17m5\ses-1\func\sub-GVsT3c17m5_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-GVsT3c17m5_ses-1_EPI_motion_added_26.png,0.140625,0.140625,0.6,False,10.4014077145673,0.05484072498462758
26,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c11m4\ses-1\func\sub-SPsT1c11m4_ses-1_EPI.nii.gz,func_func_sub-SPsT1c11m4_ses-1_EPI_27.png,0.140625,0.140625,0.5,False,27.26826795844642,0.03469985716798363
27,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c11m4\ses-1\func\sub-SPsT1c11m4_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c11m4_ses-1_EPI_motion_added_28.png,0.140625,0.140625,0.5,False,16.496703941622815,0.061265074085219313
28,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c12m1\ses-1\func\sub-SPsT1c12m1_ses-1_EPI.nii.gz,func_func_sub-SPsT1c12m1_ses-1_EPI_29.png,0.140625,0.140625,0.5,False,25.175830057771662,0.020470861742722737
29,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c12m1\ses-1\func\sub-SPsT1c12m1_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c12m1_ses-1_EPI_motion_added_30.png,0.140625,0.140625,0.5,False,14.68570165141621,0.05801426755636983
30,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c13m2\ses-1\func\sub-SPsT1c13m2_ses-1_EPI.nii.gz,func_func_sub-SPsT1c13m2_ses-1_EPI_31.png,0.140625,0.140625,0.5,False,24.39821083679564,0.021803876679437145
31,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c13m2\ses-1\func\sub-SPsT1c13m2_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c13m2_ses-1_EPI_motion_added_32.png,0.140625,0.140625,0.5,False,15.206480137848823,0.06923704201993522
32,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c22m2\ses-1\func\sub-SPsT1c22m2_ses-1_EPI.nii.gz,func_func_sub-SPsT1c22m2_ses-1_EPI_33.png,0.140625,0.140625,0.5,False,24.79449354957371,0.01883672695803379
33,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c22m2\ses-1\func\sub-SPsT1c22m2_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c22m2_ses-1_EPI_motion_added_34.png,0.140625,0.140625,0.5,False,14.271568850888404,0.053334011455433344
34,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c22m3\ses-1\func\sub-SPsT1c22m3_ses-1_EPI.nii.gz,func_func_sub-SPsT1c22m3_ses-1_EPI_35.png,0.140625,0.140625,0.5,False,24.40485833881642,0.015396119308155251
35,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c22m3\ses-1\func\sub-SPsT1c22m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c22m3_ses-1_EPI_motion_added_36.png,0.140625,0.140625,0.5,False,13.37698799556135,0.04620559108345775
36,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c5m1\ses-1\func\sub-SPsT1c5m1_ses-1_EPI.nii.gz,func_func_sub-SPsT1c5m1_ses-1_EPI_37.png,0.18229167,0.18229167,0.5,False,22.689741141123946,0.14236000843706886
37,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c5m1\ses-1\func\sub-SPsT1c5m1_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c5m1_ses-1_EPI_motion_added_38.png,0.18229167,0.18229167,0.5,False,6.167924636061893,0.0656850117710351
38,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c5m3\ses-1\func\sub-SPsT1c5m3_ses-1_EPI.nii.gz,func_func_sub-SPsT1c5m3_ses-1_EPI_39.png,0.18229167,0.18229167,0.5,False,32.74040692127841,0.04688858432305475
39,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c5m3\ses-1\func\sub-SPsT1c5m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c5m3_ses-1_EPI_motion_added_40.png,0.18229167,0.18229167,0.5,False,4.975285394193524,0.057512825863706776
40,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c8m1\ses-1\func\sub-SPsT1c8m1_ses-1_EPI.nii.gz,func_func_sub-SPsT1c8m1_ses-1_EPI_41.png,0.18229167,0.18229167,0.5,False,26.948780328526965,0.019859883640382832
41,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsT1c8m1\ses-1\func\sub-SPsT1c8m1_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsT1c8m1_ses-1_EPI_motion_added_42.png,0.18229167,0.18229167,0.5,False,5.029079382981943,0.06092693046829213
42,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m1\ses-1\func\sub-SPsV1c11m1_ses-1_EPI.nii.gz,func_func_sub-SPsV1c11m1_ses-1_EPI_43.png,0.140625,0.140625,0.5,False,25.965486214718783,0.013392066378822716
43,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m1\ses-1\func\sub-SPsV1c11m1_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c11m1_ses-1_EPI_motion_added_44.png,0.140625,0.140625,0.5,False,13.98423600519273,0.041737807848585856
44,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m2\ses-1\func\sub-SPsV1c11m2_ses-1_EPI.nii.gz,func_func_sub-SPsV1c11m2_ses-1_EPI_45.png,0.140625,0.140625,0.5,False,10.16572268572512,0.051795410990129645
45,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m2\ses-1\func\sub-SPsV1c11m2_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c11m2_ses-1_EPI_motion_added_46.png,0.140625,0.140625,0.5,False,6.3248793217810295,0.04754888291991349
46,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m3\ses-1\func\sub-SPsV1c11m3_ses-1_EPI.nii.gz,func_func_sub-SPsV1c11m3_ses-1_EPI_47.png,0.140625,0.140625,0.5,False,19.205235522612345,0.028101183608165242
47,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m3\ses-1\func\sub-SPsV1c11m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c11m3_ses-1_EPI_motion_added_48.png,0.140625,0.140625,0.5,False,12.377307143443602,0.05110782600574631
48,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m4\ses-1\func\sub-SPsV1c11m4_ses-1_EPI.nii.gz,func_func_sub-SPsV1c11m4_ses-1_EPI_49.png,0.140625,0.140625,0.5,False,24.66712517745531,0.03754698325464218
49,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m4\ses-1\func\sub-SPsV1c11m4_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c11m4_ses-1_EPI_motion_added_50.png,0.140625,0.140625,0.5,False,13.14829094259843,0.06229738373010862
50,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m5\ses-1\func\sub-SPsV1c11m5_ses-1_EPI.nii.gz,func_func_sub-SPsV1c11m5_ses-1_EPI_51.png,0.140625,0.140625,0.5,False,20.281005503079744,0.02439768090224043
51,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c11m5\ses-1\func\sub-SPsV1c11m5_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c11m5_ses-1_EPI_motion_added_52.png,0.140625,0.140625,0.5,False,12.999845644746326,0.049517461379518075
52,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c8m1\ses-2\func\sub-SPsV1c8m1_ses-2_EPI.nii.gz,func_func_sub-SPsV1c8m1_ses-2_EPI_53.png,0.140625,0.140625,0.5,False,25.08253418932099,0.011693182012300664
53,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c8m1\ses-2\func\sub-SPsV1c8m1_ses-2_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c8m1_ses-2_EPI_motion_added_54.png,0.140625,0.140625,0.5,False,13.342380049523326,0.06593059274474712
54,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c8m3\ses-1\func\sub-SPsV1c8m3_ses-1_EPI.nii.gz,func_func_sub-SPsV1c8m3_ses-1_EPI_55.png,0.140625,0.140625,0.5,False,23.56715485471196,0.01749596172565224
55,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c8m3\ses-1\func\sub-SPsV1c8m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c8m3_ses-1_EPI_motion_added_56.png,0.140625,0.140625,0.5,False,15.34718397131695,0.06484370935734485
56,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c9m3\ses-1\func\sub-SPsV1c9m3_ses-1_EPI.nii.gz,func_func_sub-SPsV1c9m3_ses-1_EPI_57.png,0.140625,0.140625,0.5,False,25.1995759200334,0.02490558776223653
57,C:\Users\aswen\Desktop\TestingData\Aswendt_qc_data\proc_data\sub-SPsV1c9m3\ses-1\func\sub-SPsV1c9m3_ses-1_EPI.nii_motion_added.nii.gz,func_func_sub-SPsV1c9m3_ses-1_EPI_motion_added_58.png,0.140625,0.140625,0.5,False,15.383186858414502,0.05005135319271001
