FileAddress,corresponding_img,Goasting,SNR Chang,SNR Normal,dataset
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\10,anat_201800907_152058_AE0617_6_w00_170907_1_1_1.png,False,40.41343682431335,18.694917513737774,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\11,anat_201800907_152058_AE0617_6_w00_170907_1_1_2.png,False,34.76128639631257,22.76080282572355,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\2,anat_201800907_152058_AE0617_6_w00_170907_1_1_3.png,False,36.28157343493525,28.716633416587328,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\3,anat_201800907_152058_AE0617_6_w00_170907_1_1_4.png,False,35.970103076691466,24.81299336586017,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\4,anat_201800907_152058_AE0617_6_w00_170907_1_1_5.png,False,39.29581588114213,25.37452522657385,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\6,anat_201800907_152058_AE0617_6_w00_170907_1_1_6.png,False,40.66598636288228,37.9611682217456,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\7,anat_201800907_152058_AE0617_6_w00_170907_1_1_7.png,False,41.949007768480016,40.272107790323176,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\8,anat_201800907_152058_AE0617_6_w00_170907_1_1_8.png,False,37.94130457477979,32.21887663931233,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\201800907_152058_AE0617_6_w00_170907_1_1\9,anat_201800907_152058_AE0617_6_w00_170907_1_1_9.png,False,41.38936657293049,27.74804168445632,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\11,anat_20181017_081132_AE0617_18_w07_181017_1_1_10.png,False,36.78935320590569,23.508508597635927,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\14,anat_20181017_081132_AE0617_18_w07_181017_1_1_11.png,False,39.224283196788846,19.21905225514298,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\3,anat_20181017_081132_AE0617_18_w07_181017_1_1_12.png,False,36.09687050202778,29.079466636305288,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\4,anat_20181017_081132_AE0617_18_w07_181017_1_1_13.png,False,34.458205297569656,27.01292998262072,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\6,anat_20181017_081132_AE0617_18_w07_181017_1_1_14.png,False,37.431917883505626,38.83381988510557,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\7,anat_20181017_081132_AE0617_18_w07_181017_1_1_15.png,False,39.82434007747657,41.010065775705584,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\8,anat_20181017_081132_AE0617_18_w07_181017_1_1_16.png,False,35.34306055343376,38.5687672709037,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_081132_AE0617_18_w07_181017_1_1\9,anat_20181017_081132_AE0617_18_w07_181017_1_1_17.png,False,36.83677111095537,40.60830002897778,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_110514_AE0617_27_w07_181017_1_1\10,anat_20181017_110514_AE0617_27_w07_181017_1_1_18.png,False,40.401836254420985,19.590831221723167,117_m_Ra
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Ramos-Cabrer\RamosCabrer_5\20181017_110514_AE0617_27_w07_181017_1_1\11,anat_20181017_110514_AE0617_27_w07_181017_1_1_19.png,False,36.477546694512974,25.296962250676515,117_m_Ra
