,Dataset,Thresold,Sequence,Kappa,F1_score
186,94_g_We,3,anatomical,,
187,94_g_We,3,structural,,
188,94_g_We,3,functional,,
189,94_m_As,3,anatomical,,
190,94_m_As,3,structural,,
191,94_m_As,3,functional,,
192,94_m_Rei,3,anatomical,,
193,94_m_Rei,3,structural,,
194,94_m_Rei,3,functional,,
195,94_m_Va,3,anatomical,,
196,94_m_Va,3,structural,,
197,94_m_Va,3,functional,,
198,94_m_We,3,anatomical,,
199,94_m_We,3,structural,,
200,94_m_We,3,functional,,
201,94_r_Fr,3,anatomical,,
202,94_r_Fr,3,structural,,
203,94_r_Fr,3,functional,,
204,94_r_We,3,anatomical,,
205,94_r_We,3,structural,,
206,94_r_We,3,functional,,
207,117c_m_Ri,4,anatomical,,
208,117c_m_Ri,4,structural,,
209,117c_m_Ri,4,functional,,
210,117_m_Ra,4,anatomical,,
211,117_m_Ra,4,structural,,
212,117_m_Ra,4,functional,,
213,117_m_Vr,4,anatomical,,
214,117_m_Vr,4,structural,,
215,117_m_Vr,4,functional,,
216,164_m_Ku,4,anatomical,,
217,164_m_Ku,4,structural,,
218,164_m_Ku,4,functional,,
219,7_h_He,4,anatomical,,
220,7_h_He,4,structural,,
221,7_h_He,4,functional,,
222,7_m_Bo,4,anatomical,,
223,7_m_Bo,4,structural,,
224,7_m_Bo,4,functional,,
225,7_m_Br,4,anatomical,,
226,7_m_Br,4,structural,,
227,7_m_Br,4,functional,,
228,7_m_Ca,4,anatomical,,
229,7_m_Ca,4,structural,,
230,7_m_Ca,4,functional,,
231,7_m_Lo,4,anatomical,,
232,7_m_Lo,4,structural,,
233,7_m_Lo,4,functional,,
234,7_m_Mi,4,anatomical,,
235,7_m_Mi,4,structural,,
236,7_m_Mi,4,functional,,
237,7_m_Se,4,anatomical,,
238,7_m_Se,4,structural,,
239,7_m_Se,4,functional,,
240,7_m_St,4,anatomical,,
241,7_m_St,4,structural,,
242,7_m_St,4,functional,,
243,7_rab_Mu,4,anatomical,,
244,7_rab_Mu,4,structural,,
245,7_rab_Mu,4,functional,,
246,7_r_Se,4,anatomical,,
247,7_r_Se,4,structural,,
248,7_r_Se,4,functional,,
249,7_r_So,4,anatomical,,
250,7_r_So,4,structural,,
251,7_r_So,4,functional,,
252,94c_m_As,4,anatomical,,
253,94c_m_As,4,structural,,
254,94c_m_As,4,functional,,
255,94_g_We,4,anatomical,,
256,94_g_We,4,structural,,
257,94_g_We,4,functional,,
258,94_m_As,4,anatomical,,
259,94_m_As,4,structural,,
260,94_m_As,4,functional,,
261,94_m_Rei,4,anatomical,,
262,94_m_Rei,4,structural,,
263,94_m_Rei,4,functional,,
264,94_m_Va,4,anatomical,,
265,94_m_Va,4,structural,,
266,94_m_Va,4,functional,,
267,94_m_We,4,anatomical,,
268,94_m_We,4,structural,,
269,94_m_We,4,functional,,
270,94_r_Fr,4,anatomical,,
271,94_r_Fr,4,structural,,
272,94_r_Fr,4,functional,,
273,94_r_We,4,anatomical,,
274,94_r_We,4,structural,,
275,94_r_We,4,functional,,
276,117c_m_Ri,5,anatomical,,
277,117c_m_Ri,5,structural,,
278,117c_m_Ri,5,functional,,
279,117_m_Ra,5,anatomical,,
280,117_m_Ra,5,structural,,
281,117_m_Ra,5,functional,,
282,117_m_Vr,5,anatomical,,
283,117_m_Vr,5,structural,,
284,117_m_Vr,5,functional,,
285,164_m_Ku,5,anatomical,,
286,164_m_Ku,5,structural,,
287,164_m_Ku,5,functional,,
288,7_h_He,5,anatomical,,
289,7_h_He,5,structural,,
290,7_h_He,5,functional,,
291,7_m_Bo,5,anatomical,,
292,7_m_Bo,5,structural,,
293,7_m_Bo,5,functional,,
294,7_m_Br,5,anatomical,,
295,7_m_Br,5,structural,,
296,7_m_Br,5,functional,,
297,7_m_Ca,5,anatomical,,
298,7_m_Ca,5,structural,,
299,7_m_Ca,5,functional,,
300,7_m_Lo,5,anatomical,,
301,7_m_Lo,5,structural,,
302,7_m_Lo,5,functional,,
303,7_m_Mi,5,anatomical,,
304,7_m_Mi,5,structural,,
305,7_m_Mi,5,functional,,
306,7_m_Se,5,anatomical,,
307,7_m_Se,5,structural,,
308,7_m_Se,5,functional,,
309,7_m_St,5,anatomical,,
310,7_m_St,5,structural,,
311,7_m_St,5,functional,,
312,7_rab_Mu,5,anatomical,,
313,7_rab_Mu,5,structural,,
314,7_rab_Mu,5,functional,,
315,7_r_Se,5,anatomical,,
316,7_r_Se,5,structural,,
317,7_r_Se,5,functional,,
318,7_r_So,5,anatomical,,
319,7_r_So,5,structural,,
320,7_r_So,5,functional,,
321,94c_m_As,5,anatomical,,
322,94c_m_As,5,structural,,
323,94c_m_As,5,functional,,
324,94_g_We,5,anatomical,,
325,94_g_We,5,structural,,
326,94_g_We,5,functional,,
327,94_m_As,5,anatomical,,
328,94_m_As,5,structural,,
